Name,  Score, Kill_Count, Time_Alive, Date
AAA ,81380 ,6 ,01:51:49 ,Tue Nov 29 13:31:13 2022
AAA ,20554 ,78 ,07:52:20 ,Thu Dec  1 23:28:24 2022
CAM, 6301, 43, 00:20:19, Wed Nov 23 18:26:56 2022
AAA ,5931 ,58 ,00:04:49 ,Sun Dec  4 21:21:01 2022
AAA ,2143 ,21 ,00:01:34 ,Sun Dec  4 19:58:18 2022
AAA ,1126 ,11 ,00:00:56 ,Sun Dec  4 20:38:15 2022
AAA ,729 ,7 ,00:01:04 ,Sun Dec  4 20:01:01 2022
AAA ,100 ,11 ,00:57:06 ,Mon Dec  5 16:19:57 2022
AAA ,14 ,0 ,00:00:29 ,Fri Dec  2 12:34:09 2022
DEF, 0, 0, 00:00:00, Sun Nov 27 16:39:04 2022
